,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۴,23,0,466,2679,8,41,13,259,28,88.89,"[{'lat': 36.3080511, 'lon': 59.6893406}, {'lat': 36.3064869, 'lon': 59.6837147}, {'lat': 36.3061331, 'lon': 59.6824978}, {'lat': 36.3058221, 'lon': 59.6813835}]"
منطقه ۲,178,8,2130,7854,16,189,58,1389,139,100.0,[]
ناحیه۱ منطقه ۱,50,5,534,1740,6,106,59,354,137,100.0,"[{'lat': 36.315082, 'lon': 59.540596}, {'lat': 36.3150536, 'lon': 59.540658}, {'lat': 36.3073821, 'lon': 59.5523129}]"
ناحیه۲ منطقه ۱,26,3,182,1515,2,77,36,303,79,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.3124625, 'lon': 59.5902776}]"
ناحیه ۲ منطقه ۱۱,7,0,521,1204,5,26,13,205,26,88.89,"[{'lat': 36.3323566, 'lon': 59.4855895}, {'lat': 36.3348678, 'lon': 59.4775772}]"
ناحیه ۱ منطقه ۱۱,5,1,458,946,1,73,8,136,35,100.0,"[{'lat': 36.3183929, 'lon': 59.5414781}, {'lat': 36.3198422, 'lon': 59.541824}, {'lat': 36.3243976, 'lon': 59.5430324}, {'lat': 36.32597, 'lon': 59.5434495}, {'lat': 36.326077, 'lon': 59.5434779}, {'lat': 36.3261639, 'lon': 59.543501}]"
ناحیه ۲ منطقه ۵,18,0,219,1616,5,6,5,112,4,88.89,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2713087, 'lon': 59.6575347}, {'lat': 36.2725002, 'lon': 59.6577036}, {'lat': 36.273696, 'lon': 59.6575052}, {'lat': 36.2758843, 'lon': 59.6564966}, {'lat': 36.276587, 'lon': 59.6561574}, {'lat': 36.2773222, 'lon': 59.6558261}, {'lat': 36.2780805, 'lon': 59.6556277}, {'lat': 36.2788683, 'lon': 59.6555498}, {'lat': 36.2801267, 'lon': 59.6557188}, {'lat': 36.2841894, 'lon': 59.6574837}, {'lat': 36.285718, 'lon': 59.6580979}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۱ منطقه ۵,1,0,174,857,4,11,7,72,6,88.89,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2713087, 'lon': 59.6575347}, {'lat': 36.2725002, 'lon': 59.6577036}, {'lat': 36.273696, 'lon': 59.6575052}, {'lat': 36.2758843, 'lon': 59.6564966}, {'lat': 36.276587, 'lon': 59.6561574}, {'lat': 36.2773222, 'lon': 59.6558261}, {'lat': 36.2780805, 'lon': 59.6556277}, {'lat': 36.2788683, 'lon': 59.6555498}, {'lat': 36.2801267, 'lon': 59.6557188}, {'lat': 36.2841894, 'lon': 59.6574837}, {'lat': 36.285718, 'lon': 59.6580979}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۳ منطقه ۶,11,0,130,911,2,2,1,110,4,88.89,"[{'lat': 36.2691398, 'lon': 59.6600116}, {'lat': 36.2689299, 'lon': 59.6604985}, {'lat': 36.2675199, 'lon': 59.6640377}, {'lat': 36.2660645, 'lon': 59.6676452}]"
ناحیه ۲ منطقه ۶,25,0,184,1137,4,4,1,162,5,88.89,"[{'lat': 36.2580623, 'lon': 59.6260974}, {'lat': 36.2582247, 'lon': 59.6271372}, {'lat': 36.2591417, 'lon': 59.6424472}, {'lat': 36.2593839, 'lon': 59.6442282}, {'lat': 36.2600998, 'lon': 59.6464491}]"
ناحیه ۱ منطقه ۶,6,0,159,1030,3,12,5,93,9,88.89,"[{'lat': 36.2765014, 'lon': 59.6173075}, {'lat': 36.2760721, 'lon': 59.6175185}, {'lat': 36.2750309, 'lon': 59.6184383}, {'lat': 36.2739972, 'lon': 59.6191335}, {'lat': 36.2735085, 'lon': 59.6203123}, {'lat': 36.2733095, 'lon': 59.6208488}, {'lat': 36.2731452, 'lon': 59.6214174}, {'lat': 36.2729685, 'lon': 59.621976}, {'lat': 36.272745, 'lon': 59.6225071}, {'lat': 36.2724725, 'lon': 59.6230703}, {'lat': 36.2719838, 'lon': 59.6240145}, {'lat': 36.2708723, 'lon': 59.6258223}]"
پایین خیابان,7,0,22,28,0,2,0,43,2,66.67,[]
عیدگاه,8,0,55,139,4,5,0,34,4,77.78,[]
بالا خیابان,4,0,47,139,2,5,2,105,1,88.89,[]
دریادل,0,0,5,111,2,1,0,23,1,66.67,[]
نوغان,0,0,2,128,2,1,0,30,0,55.56,[]
حرم مطهر رضوی,8,0,139,32,0,2,1,48,2,77.78,"[{'lat': 36.2895793, 'lon': 59.6183261}, {'lat': 36.2894366, 'lon': 59.6184871}, {'lat': 36.2893264, 'lon': 59.6187714}, {'lat': 36.2892334, 'lon': 59.618994}, {'lat': 36.2893393, 'lon': 59.6193132}, {'lat': 36.2896009, 'lon': 59.6194768}, {'lat': 36.2896031, 'lon': 59.6197182}, {'lat': 36.2893977, 'lon': 59.6200991}, {'lat': 36.2885502, 'lon': 59.6208957}, {'lat': 36.2876746, 'lon': 59.6205926}, {'lat': 36.2866606, 'lon': 59.6197557}, {'lat': 36.2867298, 'lon': 59.6195251}, {'lat': 36.2866029, 'lon': 59.6193716}, {'lat': 36.2864595, 'lon': 59.6191982}, {'lat': 36.2863882, 'lon': 59.619112}, {'lat': 36.2865655, 'lon': 59.6179855}]"
ناحیه ۴ منطقه ۳,10,0,20,380,1,0,1,24,0,66.67,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
ناحیه ۱ منطقه ۳,7,0,265,1379,4,47,8,334,18,88.89,"[{'lat': 36.3255976, 'lon': 59.6231243}, {'lat': 36.3266481, 'lon': 59.6237442}, {'lat': 36.3273831, 'lon': 59.6240169}]"
ناحیه ۲ منطقه ۳,14,0,342,1938,5,11,8,179,14,88.89,"[{'lat': 36.3115926, 'lon': 59.6534938}, {'lat': 36.3174804, 'lon': 59.6631082}]"
ناحیه ۳ منطقه ۳,10,0,288,1388,4,11,3,193,7,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3383941, 'lon': 59.6072375}, {'lat': 36.3401388, 'lon': 59.6080668}, {'lat': 36.3459258, 'lon': 59.6113781}, {'lat': 36.3468997, 'lon': 59.611901}, {'lat': 36.3507774, 'lon': 59.6126945}, {'lat': 36.3590943, 'lon': 59.614411}, {'lat': 36.3648893, 'lon': 59.6225393}]"
ناحیه ۲ منطقه ۸,31,4,337,1204,13,95,28,529,62,100.0,"[{'lat': 36.2797072, 'lon': 59.5973553}, {'lat': 36.2804672, 'lon': 59.5966016}, {'lat': 36.2812164, 'lon': 59.5958546}]"
ناحیه ۱ منطقه ۸,25,3,153,633,6,106,18,307,58,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
ناحیه ۳ منطقه ۱۰,22,4,731,2334,5,27,8,330,23,100.0,"[{'lat': 36.3452517, 'lon': 59.5480044}, {'lat': 36.3463705, 'lon': 59.5477277}, {'lat': 36.3479649, 'lon': 59.546982}, {'lat': 36.3545342, 'lon': 59.5430902}, {'lat': 36.359213, 'lon': 59.5403275}, {'lat': 36.364507, 'lon': 59.5371437}, {'lat': 36.3658332, 'lon': 59.5363659}]"
ناحیه ۲ منطقه ۱۰,11,2,924,1625,4,26,6,214,28,100.0,"[{'lat': 36.3593004, 'lon': 59.5075308}, {'lat': 36.3592583, 'lon': 59.5065973}, {'lat': 36.3591223, 'lon': 59.5056211}, {'lat': 36.3590391, 'lon': 59.5051919}, {'lat': 36.3589257, 'lon': 59.5047802}, {'lat': 36.3586923, 'lon': 59.5042128}, {'lat': 36.3585012, 'lon': 59.5038119}, {'lat': 36.3582744, 'lon': 59.5034458}, {'lat': 36.3579796, 'lon': 59.5030729}, {'lat': 36.3574838, 'lon': 59.5025942}, {'lat': 36.3571134, 'lon': 59.5023769}, {'lat': 36.3564805, 'lon': 59.5020443}, {'lat': 36.3559361, 'lon': 59.5018861}, {'lat': 36.3551239, 'lon': 59.5018083}, {'lat': 36.3520694, 'lon': 59.501591}]"
ناحیه ۱ منطقه ۱۰,51,2,1241,2709,4,30,13,470,38,100.0,"[{'lat': 36.3510607, 'lon': 59.4658001}, {'lat': 36.3520511, 'lon': 59.4668873}, {'lat': 36.3535627, 'lon': 59.4689701}, {'lat': 36.3538125, 'lon': 59.4693503}, {'lat': 36.3544654, 'lon': 59.4701806}, {'lat': 36.3556127, 'lon': 59.4719881}, {'lat': 36.3562949, 'lon': 59.4732138}]"
ناحیه ۲ منطقه ۹,96,0,850,2576,6,60,25,472,54,88.89,"[{'lat': 36.3108771, 'lon': 59.5044744}, {'lat': 36.310447, 'lon': 59.5040707}, {'lat': 36.3095868, 'lon': 59.5034726}, {'lat': 36.3095046, 'lon': 59.5034095}, {'lat': 36.3086325, 'lon': 59.5029469}, {'lat': 36.3081191, 'lon': 59.5025405}, {'lat': 36.3079473, 'lon': 59.5022294}, {'lat': 36.3076871, 'lon': 59.5020014}, {'lat': 36.3061987, 'lon': 59.5008118}, {'lat': 36.3056594, 'lon': 59.5002875}, {'lat': 36.3056053, 'lon': 59.5001091}, {'lat': 36.3051514, 'lon': 59.4994386}, {'lat': 36.3048639, 'lon': 59.4991609}, {'lat': 36.3037432, 'lon': 59.4982772}, {'lat': 36.3034287, 'lon': 59.4978601}, {'lat': 36.3025176, 'lon': 59.4959946}, {'lat': 36.3022852, 'lon': 59.4955641}, {'lat': 36.3019339, 'lon': 59.4950424}, {'lat': 36.3016886, 'lon': 59.494797}, {'lat': 36.3014368, 'lon': 59.4946106}, {'lat': 36.3010228, 'lon': 59.4943719}, {'lat': 36.3000457, 'lon': 59.4939038}, {'lat': 36.2968788, 'lon': 59.4925225}, {'lat': 36.2964649, 'lon': 59.4925413}, {'lat': 36.2949797, 'lon': 59.4919243}, {'lat': 36.2946587, 'lon': 59.4919418}, {'lat': 36.294476, 'lon': 59.4920585}, {'lat': 36.2942209, 'lon': 59.4921081}, {'lat': 36.2940285, 'lon': 59.4920598}, {'lat': 36.2937626, 'lon': 59.4919525}, {'lat': 36.2932038, 'lon': 59.4912726}, {'lat': 36.2924504, 'lon': 59.490189}, {'lat': 36.2916267, 'lon': 59.489914}, {'lat': 36.2909241, 'lon': 59.4895989}, {'lat': 36.2902928, 'lon': 59.489159}, {'lat': 36.2893415, 'lon': 59.4888478}, {'lat': 36.2865753, 'lon': 59.4869501}]"
ناحیه ۱ منطقه ۹,97,3,1379,2390,10,60,34,721,43,100.0,"[{'lat': 36.2766051, 'lon': 59.5549093}, {'lat': 36.2773747, 'lon': 59.5548136}, {'lat': 36.2777989, 'lon': 59.5548083}, {'lat': 36.2785195, 'lon': 59.5549843}, {'lat': 36.2800922, 'lon': 59.5553945}, {'lat': 36.28094, 'lon': 59.5556095}, {'lat': 36.2825726, 'lon': 59.5559678}, {'lat': 36.2851098, 'lon': 59.5564823}, {'lat': 36.2859054, 'lon': 59.5563767}]"
ناحیه ۳ منطقه ۷,64,0,211,459,2,1,0,218,1,77.78,"[{'lat': 36.200244, 'lon': 59.6683647}, {'lat': 36.1998309, 'lon': 59.6718528}, {'lat': 36.2007943, 'lon': 59.6764577}, {'lat': 36.2025753, 'lon': 59.679021}, {'lat': 36.2033765, 'lon': 59.6811073}, {'lat': 36.2049335, 'lon': 59.6840086}, {'lat': 36.2064899, 'lon': 59.6851412}, {'lat': 36.208527, 'lon': 59.687764}, {'lat': 36.2111911, 'lon': 59.691778}, {'lat': 36.2129229, 'lon': 59.6932281}, {'lat': 36.2266951, 'lon': 59.6817309}]"
ناحیه ۲ منطقه ۷,25,0,331,737,4,5,0,196,4,77.78,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۱ منطقه ۷,28,1,304,1577,7,85,12,294,33,100.0,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۲ منطقه ۱۲,13,1,524,1335,2,14,2,152,6,100.0,"[{'lat': 36.3809188, 'lon': 59.4608795}, {'lat': 36.3845438, 'lon': 59.4560391}, {'lat': 36.3881988, 'lon': 59.4484914}]"
ناحیه ۳ منطقه ۱۲,54,0,125,793,1,2,0,52,0,66.67,"[{'lat': 36.4301655, 'lon': 59.473865}, {'lat': 36.4275577, 'lon': 59.4695217}, {'lat': 36.4224365, 'lon': 59.4609926}, {'lat': 36.4286203, 'lon': 59.4546389}, {'lat': 36.4363934, 'lon': 59.4455033}, {'lat': 36.4443383, 'lon': 59.4555531}]"
ناحیه ۳ منطقه ۴,14,0,164,1265,2,1,5,86,7,88.89,"[{'lat': 36.2973878, 'lon': 59.6619829}, {'lat': 36.2976841, 'lon': 59.6620971}, {'lat': 36.300384, 'lon': 59.6643957}, {'lat': 36.3013935, 'lon': 59.6652433}, {'lat': 36.3022171, 'lon': 59.6656617}, {'lat': 36.3032222, 'lon': 59.6657395}, {'lat': 36.3039485, 'lon': 59.6654069}, {'lat': 36.3045278, 'lon': 59.6650529}, {'lat': 36.3049645, 'lon': 59.6645996}, {'lat': 36.3053903, 'lon': 59.6639183}, {'lat': 36.3063543, 'lon': 59.6623103}]"
ناحیه ۲ منطقه ۴,3,0,80,507,1,9,3,48,10,88.89,"[{'lat': 36.3060047, 'lon': 59.6445943}, {'lat': 36.3017221, 'lon': 59.6487345}]"
ناحیه ۱ منطقه ۴,3,0,135,580,2,25,5,81,13,88.89,"[{'lat': 36.2939896, 'lon': 59.6608522}, {'lat': 36.2916513, 'lon': 59.660165}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۳ منطقه ۲,21,2,488,1991,5,24,4,274,10,100.0,"[{'lat': 36.3617491, 'lon': 59.5737907}, {'lat': 36.3602973, 'lon': 59.5703924}, {'lat': 36.3576404, 'lon': 59.5679757}, {'lat': 36.3543895, 'lon': 59.5648348}, {'lat': 36.3531193, 'lon': 59.5636117}, {'lat': 36.3529233, 'lon': 59.5634275}, {'lat': 36.3516093, 'lon': 59.5621929}, {'lat': 36.3519052, 'lon': 59.5617771}, {'lat': 36.352603, 'lon': 59.5605272}, {'lat': 36.3535211, 'lon': 59.5589152}, {'lat': 36.3549705, 'lon': 59.5566514}, {'lat': 36.3566576, 'lon': 59.554102}, {'lat': 36.3572624, 'lon': 59.5534971}, {'lat': 36.3589782, 'lon': 59.5519828}]"
ناحیه ۲ منطقه ۲,61,0,263,1561,3,10,1,143,8,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
ناحیه ۴ منطقه ۲,45,0,311,1037,2,14,7,129,38,88.89,"[{'lat': 36.3434367, 'lon': 59.5903212}, {'lat': 36.3422268, 'lon': 59.5891195}, {'lat': 36.3384956, 'lon': 59.5851928}]"
ناحیه ۱ منطقه ۲,60,3,370,3146,5,58,28,470,66,100.0,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
شهید احمدی روشن,0,0,2,93,0,0,0,2,0,33.33,"[{'lat': 36.3826522, 'lon': 59.669795}, {'lat': 36.3818334, 'lon': 59.6696864}, {'lat': 36.3813616, 'lon': 59.6690421}, {'lat': 36.3805325, 'lon': 59.6694575}, {'lat': 36.3800861, 'lon': 59.6631562}, {'lat': 36.3792118, 'lon': 59.6631562}, {'lat': 36.3787467, 'lon': 59.663664}, {'lat': 36.3788955, 'lon': 59.6672647}, {'lat': 36.3780755, 'lon': 59.6667337}, {'lat': 36.3776477, 'lon': 59.6660643}, {'lat': 36.3774617, 'lon': 59.6644717}, {'lat': 36.3762525, 'lon': 59.6639177}, {'lat': 36.3755257, 'lon': 59.665233}, {'lat': 36.3756187, 'lon': 59.6676566}, {'lat': 36.374557, 'lon': 59.6684409}, {'lat': 36.3739642, 'lon': 59.6692307}, {'lat': 36.3732782, 'lon': 59.6697673}, {'lat': 36.3716506, 'lon': 59.6702947}, {'lat': 36.3703287, 'lon': 59.6717049}, {'lat': 36.369938, 'lon': 59.6735226}, {'lat': 36.3696854, 'lon': 59.674509}, {'lat': 36.370704, 'lon': 59.6748898}, {'lat': 36.369935, 'lon': 59.6767229}, {'lat': 36.3736453, 'lon': 59.6787669}, {'lat': 36.3747179, 'lon': 59.6777622}, {'lat': 36.3757783, 'lon': 59.6771217}, {'lat': 36.3776851, 'lon': 59.6776469}, {'lat': 36.3776107, 'lon': 59.6791934}, {'lat': 36.3784664, 'lon': 59.6791472}, {'lat': 36.3792291, 'lon': 59.6782932}, {'lat': 36.379936, 'lon': 59.6782239}, {'lat': 36.380194, 'lon': 59.6752685}, {'lat': 36.3811427, 'lon': 59.6745299}, {'lat': 36.3818868, 'lon': 59.6750146}, {'lat': 36.3823542, 'lon': 59.6748322}]"
شهید علی محمدی,2,0,0,107,1,0,0,9,0,44.44,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
شهرک مهرگان,8,0,18,172,1,0,1,10,0,66.67,[]
شهید شهریاری,1,0,2,96,0,0,1,13,0,55.56,[]
گاز,3,0,95,307,1,16,2,36,3,88.89,[]
فاطمیه,2,0,57,288,0,18,3,34,4,77.78,[]
راه آهن,1,0,50,331,3,6,4,93,2,88.89,[]
شهید هاشمی نژاد,3,0,45,229,1,10,4,166,5,88.89,[]
آیت الله کاشانی,0,0,30,365,1,7,5,121,6,77.78,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.3031026, 'lon': 59.609197}]"
رسالت,1,0,60,242,1,2,0,14,4,77.78,[]
طبرسی شمالی,3,0,15,371,0,0,0,24,4,55.56,[]
کوی دروی,0,0,46,300,2,1,0,66,0,55.56,[]
سیس آباد,9,0,100,527,2,2,2,78,0,77.78,[]
عباس آباد,0,0,35,371,1,1,0,17,1,66.67,[]
خیرآباد,0,0,33,148,0,3,1,13,4,66.67,[]
بلال,0,0,51,83,1,0,0,4,1,55.56,[]
خواجه ربیع,6,0,167,491,4,6,3,82,5,88.89,[]
بهمن,5,0,107,705,2,5,1,109,6,88.89,[]
قائم,23,0,56,336,1,3,0,43,5,77.78,[]
راهنمایی,0,0,46,167,0,16,9,28,13,66.67,[]
سجاد شهر,13,1,244,530,2,26,6,76,17,100.0,[]
احمد آباد,12,0,119,497,1,55,34,139,73,88.89,[]
فلسطین,7,1,44,219,2,7,5,26,4,100.0,[]
آبکوه,0,2,10,124,0,4,2,13,2,77.78,[]
ارشاد,5,3,118,210,1,15,1,29,5,100.0,[]
بهشت,1,0,57,283,0,32,21,89,61,77.78,[]
گوهرشاد,1,3,33,314,0,6,7,41,6,88.89,[]
کلاهدوز,11,0,7,338,0,4,3,37,2,77.78,[]
سناباد,2,0,20,166,0,14,14,85,8,77.78,[]
سعد آباد,11,0,45,574,1,13,11,113,5,88.89,[]
طرق,9,0,23,204,0,0,0,53,1,55.56,[]
ایوان,8,0,77,113,0,0,0,24,1,55.56,[]
رباط,32,0,19,104,1,1,0,49,0,66.67,[]
عسگریه,0,0,2,39,0,0,0,12,0,33.33,[]
انقلاب,2,0,147,286,2,0,0,42,2,66.67,[]
شهرک ابوذر,2,0,10,65,0,0,0,27,0,44.44,[]
شهرک بهارستان,2,0,127,275,0,0,0,25,1,55.56,[]
کوی سیدی,20,0,123,280,1,4,0,74,4,77.78,"[{'lat': 36.2341119, 'lon': 59.624868}, {'lat': 36.2357021, 'lon': 59.6241251}, {'lat': 36.2389385, 'lon': 59.622505}, {'lat': 36.2409548, 'lon': 59.621534}, {'lat': 36.2437886, 'lon': 59.6201152}, {'lat': 36.2445652, 'lon': 59.6195894}, {'lat': 36.2454024, 'lon': 59.6187338}, {'lat': 36.2461725, 'lon': 59.6175483}, {'lat': 36.2473297, 'lon': 59.6153408}, {'lat': 36.247665, 'lon': 59.6143377}, {'lat': 36.2484524, 'lon': 59.610647}, {'lat': 36.2493176, 'lon': 59.6088445}, {'lat': 36.2518181, 'lon': 59.6068275}, {'lat': 36.2525352, 'lon': 59.6058967}, {'lat': 36.2534403, 'lon': 59.6042351}, {'lat': 36.2544959, 'lon': 59.6019351}]"
کوی ولیعصر,2,0,74,195,1,0,0,13,0,55.56,"[{'lat': 36.2414534, 'lon': 59.601966}, {'lat': 36.2371667, 'lon': 59.5988747}, {'lat': 36.2356253, 'lon': 59.5977978}, {'lat': 36.2354338, 'lon': 59.5976825}, {'lat': 36.235158, 'lon': 59.5975484}, {'lat': 36.2332043, 'lon': 59.5967826}, {'lat': 36.2328592, 'lon': 59.5966163}, {'lat': 36.2325618, 'lon': 59.5964098}, {'lat': 36.232288, 'lon': 59.5961631}]"
کوی المهدی,1,0,94,174,0,4,0,19,1,66.67,"[{'lat': 36.2472324, 'lon': 59.5899027}, {'lat': 36.2493133, 'lon': 59.5913404}, {'lat': 36.2507809, 'lon': 59.5925756}, {'lat': 36.2519695, 'lon': 59.5936324}, {'lat': 36.2555578, 'lon': 59.5967276}, {'lat': 36.2542839, 'lon': 59.5993911}, {'lat': 36.2534079, 'lon': 59.6011037}, {'lat': 36.2542017, 'lon': 59.6018708}]"
ایمان,0,0,27,75,0,3,0,17,0,44.44,[]
کوی پلیس,19,0,128,384,2,9,1,105,3,88.89,[]
پروین اعتصامی,7,0,28,98,0,1,0,16,0,55.56,[]
مقدم,0,0,11,112,0,6,0,7,0,44.44,[]
کارگران,1,0,52,300,1,1,0,24,2,77.78,[]
هفده شهریور,2,0,45,383,0,6,1,29,3,77.78,[]
کوشش,1,1,12,286,1,21,2,58,6,100.0,[]
عنصری,4,1,31,333,2,25,1,44,14,100.0,[]
شهید بهشتی,2,0,43,415,6,24,11,126,24,88.89,[]
خمینی,0,0,29,211,4,21,6,55,10,77.78,[]
خرمشهر,0,0,9,195,1,12,1,33,10,77.78,[]
امام رضا (ع),0,0,11,164,0,26,4,31,5,66.67,[]
کوهسنگی,9,1,145,368,1,19,10,133,20,100.0,[]
آبادگران,12,0,67,264,6,4,4,155,6,88.89,"[{'lat': 36.2571497, 'lon': 59.590989}, {'lat': 36.2536869, 'lon': 59.5891034}, {'lat': 36.2527785, 'lon': 59.5908952}, {'lat': 36.2521036, 'lon': 59.59023}, {'lat': 36.2541887, 'lon': 59.5865178}, {'lat': 36.2535139, 'lon': 59.5843076}, {'lat': 36.2526622, 'lon': 59.5816067}]"
ترمینال مسافربری امام رضا,0,0,0,83,1,0,0,79,0,33.33,[]
ده دی,10,3,46,233,3,47,7,121,34,100.0,[]
جنت,11,3,20,94,3,33,3,88,26,100.0,[]
سلام,1,0,4,109,0,17,1,27,11,77.78,[]
دانش,3,0,5,147,1,7,1,15,4,88.89,[]
آیت الله خامنه ای,7,0,40,132,0,7,1,24,6,77.78,"[{'lat': 36.2909554, 'lon': 59.6063187}, {'lat': 36.2881847, 'lon': 59.6086612}, {'lat': 36.2838522, 'lon': 59.6122353}]"
سراب,4,0,56,115,1,21,2,77,3,88.89,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
شهید بصیر,0,0,1,149,0,1,0,8,0,44.44,[]
شهرک مطهری,0,0,0,71,0,0,0,1,0,22.22,[]
مشهدقلی,1,0,0,79,0,0,0,1,0,33.33,[]
توس,1,0,0,130,0,0,0,2,0,33.33,[]
مهدی آباد,3,0,2,361,0,0,0,23,0,44.44,[]
نوده,0,0,5,324,0,0,0,2,0,33.33,[]
حضرت حجت,9,0,56,311,1,0,0,40,0,55.56,[]
وحدت,35,0,70,925,2,6,0,56,7,77.78,[]
نوید,22,0,151,744,2,3,0,101,0,66.67,[]
فدک,5,0,40,287,0,4,0,13,0,55.56,[]
